row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Peak area,
25500,154.99028379302212,9.404712,,,,,,,,,,,230762.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,154.9903112726588,0.023131214,,,,,,,,,,,632917.75,203507.44,268293.9,252429.4,251889.05,240441.95,327211.53,236562.34,296098.7,216402.62,354412.94,264908.78,260554.6,309250.7,295109.47,227474.66,
31,154.99040788154377,0.68823344,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32944.19,0,
39933,155.9936047782833,16.086721,,,,,,,,,,,0,0,0,0,0,0,0,0,0,53328.656,60041.598,56009.06,0,61572.297,0,46865.387,
39942,156.99082265013084,16.106956,,,,,,,,,,,205357.44,157378.44,0,154604.83,138085.75,103814.46,147962.86,109942.48,194106.28,130947.21,99670.27,0,84474.516,99799.945,142732.11,0,
39923,156.99089543487807,15.996828,,,,,,,,,,,0,0,182062.22,0,0,0,0,0,0,0,34380.273,0,23452.754,41461.13,0,0,
29517,157.1012998043367,10.486574,,,,,,,,,,,0,0,0,0,57274.22,59016.21,64061.84,63363.5,65401.074,58416.246,71343.02,67153.984,82697.29,128506.03,143593.75,103605.84,
1064,158.0965279140801,4.701628,,,,,,,,,,,0,0,0,0,120658.32,97648.51,117818.77,145458.47,127666.73,150741.73,129383.695,172888.81,138584.53,112905.93,128750.086,141072.06,
39805,158.1538079994114,15.737206,,,,,,,,,,,58236.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38522,158.15386069236698,13.14694,,,,,,,,,,,614542.94,267979.34,0,0,0,238486.4,0,0,267773.78,0,0,361527.75,0,0,187691.03,50637.793,
38808,158.1538745708176,13.30921,,,,,,,,,,,0,0,118397.17,254642.11,0,76388.61,0,0,0,37368.812,243977.61,0,126061.74,262434.34,81538.7,0,
39171,158.1539378877505,13.631235,,,,,,,,,,,0,45399.94,0,79536.91,0,0,0,0,0,0,0,0,0,0,0,0,
39066,158.15394796252517,13.497803,,,,,,,,,,,0,0,0,0,398567.47,0,331464.34,103094.33,0,102105.97,0,0,0,0,0,111519.88,
39308,158.15395584506555,13.826031,,,,,,,,,,,0,0,0,87808.586,57615.996,0,0,0,94225.555,0,0,0,0,0,0,0,
26713,158.1540764961152,9.707367,,,,,,,,,,,0,105908.54,93390.32,97319.93,100818.91,120999.34,140762.69,114520.08,114320.9,136901.05,164203.8,176019.48,163637.66,28441.678,32720.084,29002.008,
27168,158.15412503420902,9.836072,,,,,,,,,,,829655.2,681719.2,660571.75,668006.0,1869309.4,1987817.0,1882903.2,1876760.9,1995300.6,1953446.8,2315507.2,2347993.2,2263509.0,1911863.1,1816500.9,1890901.9,
39929,158.98608156185054,16.053146,,,,,,,,,,,113831.99,0,64642.637,0,0,0,0,0,0,0,0,0,0,0,0,0,
30776,159.11674298734752,10.7714615,,,,,,,,,,,0,0,0,0,87693.78,77111.016,95702.64,94613.66,111145.44,118411.01,131556.3,111611.914,103880.48,267293.75,237352.88,140196.64,
35547,159.1167576117909,12.168538,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,59101.727,67396.44,75238.78,
542,160.07572430371332,1.418536,,,,,,,,,,,0,0,0,0,37083.0,44146.93,44541.797,39918.047,43599.637,0,42241.05,36412.934,38578.973,32380.98,29624.184,35465.688,
4058,160.0757284895537,5.8086686,,,,,,,,,,,0,0,0,0,172990.25,148288.84,142873.61,170673.27,134182.03,151843.1,190964.69,171739.34,176501.27,68527.9,101385.86,75251.375,
39685,161.08216767439524,15.024082,,,,,,,,,,,0,0,0,0,136585.36,270216.34,0,0,249882.7,125036.27,293952.5,0,199865.72,98533.984,0,473804.6,
39609,161.08219553787464,14.756255,,,,,,,,,,,162061.69,71001.92,140886.02,44438.89,145991.98,0,348671.28,0,0,222748.2,244067.22,74305.47,103897.445,52280.27,233315.14,0,
39755,161.08217748840784,15.385303,,,,,,,,,,,0,0,0,0,208509.64,268448.97,0,0,0,0,71190.625,403504.1,0,0,411937.22,237623.75,
39713,161.0822068630083,15.129772,,,,,,,,,,,0,0,453367.1,416163.06,0,0,386197.25,0,0,0,0,0,0,332008.78,0,0,
39728,161.082209406777,15.230589,,,,,,,,,,,297774.62,0,0,0,0,0,0,657838.25,0,0,0,0,0,0,0,0,
39475,161.08224298474028,14.077835,,,,,,,,,,,0,0,29152.223,19936.844,0,29086.877,0,43466.95,0,19945.373,59219.61,73838.66,24022.393,67267.7,27183.406,0,
39546,161.08224380586788,14.301312,,,,,,,,,,,38646.867,0,95334.77,102856.56,0,120578.28,0,0,67389.836,74083.75,34932.42,0,64656.92,32312.457,41416.184,119225.78,
39562,161.0822518355501,14.444693,,,,,,,,,,,40242.277,0,0,82227.09,40999.098,0,0,0,129320.64,0,0,0,0,0,0,0,
39580,161.08227277687763,14.552158,,,,,,,,,,,0,0,0,0,31533.252,80461.14,0,0,0,0,0,178194.89,0,108925.445,0,0,
16862,161.09598918635294,7.9170113,,,,,,,,,,,0,0,0,0,212631.0,154969.6,253657.5,274622.72,241818.47,76924.4,274926.8,293264.94,267599.72,0,0,203268.61,
24663,161.09599453693474,9.195611,,,,,,,,,,,0,0,0,0,0,76726.0,68530.94,84146.33,107778.36,102251.0,166949.73,170202.92,135140.0,176980.81,302275.62,308684.47,
26656,161.09599684981308,9.686326,,,,,,,,,,,0,0,0,0,124824.87,153501.52,105326.8,130723.54,123414.91,114855.49,146366.11,154496.08,155970.27,209111.17,190634.1,274987.6,
7206,161.09603252736542,6.4023643,,,,,,,,,,,0,35358.414,38024.484,37627.14,0,0,0,0,0,0,0,0,0,0,0,0,
9560,161.0960616378705,6.800688,,,,,,,,,,,0,54803.35,49587.867,53213.473,0,0,0,0,0,0,0,0,0,0,0,64682.43,
38776,161.10717490111116,13.294865,,,,,,,,,,,333164.1,29974.28,106687.02,35705.59,0,191596.02,0,0,0,0,0,0,0,51293.17,0,0,
39896,161.1072309601754,15.904453,,,,,,,,,,,35725.18,29340.146,27135.385,32048.164,29954.629,29637.205,24073.441,30031.883,27816.547,26031.16,24038.523,24649.77,31116.914,29580.953,29465.244,27851.586,
39810,161.10734354330927,15.747718,,,,,,,,,,,184258.86,153207.11,165590.25,159784.94,146504.72,144535.44,136842.25,105055.555,150762.72,99764.46,141226.47,119258.91,125275.82,131121.48,136740.61,128270.664,
30646,161.13228372356454,10.748315,,,,,,,,,,,0,0,0,0,108624.02,166316.08,112730.234,126298.35,102937.414,111673.98,150440.48,148168.62,155640.38,109773.555,137298.03,159918.06,
31892,161.13256947836678,11.055987,,,,,,,,,,,0,0,0,0,122658.875,104383.72,101651.24,111855.25,112272.36,121651.62,152525.06,139698.06,137308.42,181714.38,222071.33,143927.86,
7306,162.0550807920681,6.4188237,,,,,,,,,,,0,0,0,0,42662.992,46254.2,46529.89,38058.387,46680.723,47621.402,57508.293,53216.086,57420.676,109299.68,120168.65,113072.11,
719,162.05511687843193,3.129082,,,,,,,,,,,0,0,0,0,73242.69,75615.3,75305.77,80606.11,75332.766,78510.82,86570.836,89765.08,89759.62,77087.09,80976.0,85402.33,
1026,162.12788634294404,4.6422043,,,,,,,,,,,0,114146.09,115995.76,131747.69,0,0,0,0,0,0,0,0,0,0,0,0,
9745,162.99816056335644,6.8306804,,,,,,,,,,,966247.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4716,162.99830331629124,5.9503713,,,,,,,,,,,0,0,0,676885.4,0,0,0,0,0,0,0,0,0,0,0,0,
37124,163.03877261502012,12.677167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,18990.32,17129.08,15222.358,79167.28,76507.23,76720.62,
20592,163.03901883381323,8.422805,,,,,,,,,,,0,0,0,0,317005.84,328755.2,338439.22,327696.4,339758.4,342035.38,414884.88,428785.1,418785.72,290767.72,306019.84,321443.97,
32665,163.0390823343555,11.260867,,,,,,,,,,,0,0,0,0,104485.58,108150.67,105737.83,108617.43,98539.125,98802.05,111793.97,116404.26,118595.805,253954.52,275121.9,274581.3,
23554,163.0754555656631,8.952034,,,,,,,,,,,0,41149.203,31624.562,40150.33,0,0,0,0,0,0,0,68782.15,138557.94,224318.38,147723.14,127863.6,
26570,163.1117742028712,9.661753,,,,,,,,,,,0,572657.6,502206.72,550880.8,0,69459.82,82553.56,0,75820.08,93518.445,246488.44,197398.36,220099.27,531082.75,585192.06,617146.56,
23465,163.11181807556312,8.930056,,,,,,,,,,,0,36841.824,33954.582,32440.258,0,0,0,0,0,0,0,0,0,0,0,123753.875,
36528,163.14813909297885,12.505508,,,,,,,,,,,0,0,0,0,107341.5,127605.91,149642.16,139214.19,186313.55,150794.17,185275.1,207275.66,222756.31,344247.47,339248.9,310629.94,
29752,163.1481602891699,10.54702,,,,,,,,,,,0,0,0,0,76680.94,95903.69,94666.76,93274.234,85735.02,90289.016,116015.57,110389.51,117749.266,13953.988,17049.932,19892.756,
13557,164.07059450692233,7.3870163,,,,,,,,,,,0,0,35317.13,32213.324,0,0,0,0,11804.1455,0,19408.117,22033.018,24028.559,25308.049,19857.492,25555.99,
487,164.0931889041746,1.2492726,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,27429.777,0,41164.105,38199.26,47241.34,
575,164.10704084946124,1.4760193,,,,,,,,,,,0,39427.555,49016.043,42756.312,0,0,0,0,0,0,0,0,0,0,0,32348.596,
5482,164.14341331766482,6.1142793,,,,,,,,,,,0,105229.09,107062.08,0,0,0,0,0,0,0,0,0,0,15845.249,61719.465,46744.414,
6933,164.14340642955315,6.404045,,,,,,,,,,,0,387204.12,356679.5,503304.5,0,0,0,0,0,0,62463.61,32237.86,61721.277,225689.27,211363.97,82546.86,
39902,164.14346047822053,15.920498,,,,,,,,,,,317236.94,297194.4,292336.38,299095.22,260808.83,262481.12,261307.22,254930.08,271476.44,249505.33,258032.02,230666.06,246704.45,251081.97,267563.3,244353.73,
10261,164.14350309155415,6.9123206,,,,,,,,,,,0,140096.02,0,133880.84,0,0,0,0,0,0,0,0,0,48545.582,32379.342,18013.375,
32526,165.0546137429609,11.225351,,,,,,,,,,,280440.1,0,0,0,168389.53,146668.42,154934.72,173260.77,170375.38,153662.78,172899.94,147448.72,178517.16,158370.97,157786.39,164335.23,
33743,165.0546651546935,11.582779,,,,,,,,,,,15893.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17228,165.0547438942224,7.9125032,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8888.63,0,0,0,0,
20657,165.05475640485827,8.431042,,,,,,,,,,,0,0,0,0,21019.275,28485.71,30898.19,24497.67,19225.291,26186.996,34913.242,24765.502,29885.35,26570.09,35784.676,39330.348,
18090,165.05481507803722,8.042948,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35152.066,
39930,165.98302901313468,16.058916,,,,,,,,,,,182905.2,142739.77,151163.22,141884.73,128363.67,102111.68,115098.81,112404.29,131142.44,97631.68,110821.4,59174.234,66194.336,81898.93,114930.66,22798.027,
39820,165.9830466131023,15.799145,,,,,,,,,,,86694.92,0,48284.77,42360.9,0,38701.04,39906.246,37633.387,54480.73,39568.08,39350.1,0,0,49254.664,38050.72,40027.633,
656,166.08639160463346,2.1710372,,,,,,,,,,,0,0,0,0,55086.42,67526.33,66547.19,0,0,0,67790.24,70847.85,66398.09,76119.11,64780.45,70763.766,
3187,166.12259966166437,5.6094685,,,,,,,,,,,0,16990.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5256,166.12261480559454,6.065759,,,,,,,,,,,0,193660.58,189170.27,186394.8,0,0,0,0,0,0,0,28081.305,34771.89,106128.49,59642.133,60844.418,
29149,167.08567567891814,10.406333,,,,,,,,,,,33344.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29777,167.0856926018778,10.553859,,,,,,,,,,,16918.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26240,167.1067701433131,9.570319,,,,,,,,,,,0,74994.8,58720.066,73196.48,22984.918,22862.947,41984.4,19893.13,31560.969,31917.209,58741.793,62531.62,53367.453,117092.44,119602.0,116999.65,
35543,167.1431329190801,12.166544,,,,,,,,,,,0,0,0,0,38030.855,0,37434.934,0,47083.555,28476.215,63797.023,54628.57,61769.586,69970.016,74887.0,99967.62,
6023,167.1543352749524,6.1924186,,,,,,,,,,,0,86736.46,81765.97,85638.75,0,0,0,0,0,0,0,0,0,45542.574,51006.484,51008.59,
6049,168.08806745371243,6.1977463,,,,,,,,,,,0,0,0,0,153135.28,168705.97,143756.95,168453.02,131907.36,138955.52,211582.14,206114.66,199348.36,455354.34,467811.2,494741.38,
577,168.13843538375232,1.4814576,,,,,,,,,,,0,85550.9,94058.59,90050.26,0,0,0,0,0,0,0,0,0,87948.93,89774.2,84300.945,
22317,168.1385131410244,8.711266,,,,,,,,,,,0,43394.254,38478.434,41499.75,0,0,0,0,0,0,0,14986.279,0,0,0,0,
866,169.04324874272297,4.368621,,,,,,,,,,,0,0,0,0,0,21610.346,0,0,0,0,0,0,28206.883,0,0,0,
8087,169.08583963529233,6.5541635,,,,,,,,,,,0,0,0,0,38778.2,39546.484,33943.207,33198.37,42522.438,38202.547,42087.223,49437.734,45207.902,46991.73,46048.48,42737.316,
9716,169.08588855625717,6.8254046,,,,,,,,,,,0,0,0,0,105673.4,126911.914,116175.68,125589.336,117672.92,114265.99,154620.23,181842.11,162187.97,184989.39,164431.39,191314.9,
1,169.97738336084,0.022404931,,,,,,,,,,,0,0,0,0,36589.85,23260.658,23572.412,0,44175.668,22225.758,40238.56,17304.594,27680.951,27147.906,33149.855,27776.281,
39941,169.977423260979,16.09487,,,,,,,,,,,653680.9,335341.78,474436.78,387323.12,341611.44,352697.44,345172.44,352992.56,393005.2,340663.88,306644.94,308356.75,303431.25,372239.62,313320.03,286323.62,
39432,170.09635227286464,13.966988,,,,,,,,,,,0,16085.915,0,0,0,0,0,18615.238,0,0,0,0,0,0,0,0,
11992,170.09637999816974,7.1479855,,,,,,,,,,,0,0,0,0,411195.56,482659.0,468073.25,467504.03,418892.62,463471.75,504493.03,538752.5,515074.25,369170.28,442653.25,426068.5,
39217,170.0963835519452,13.6752825,,,,,,,,,,,0,0,38893.74,0,0,0,29102.713,0,0,60060.547,0,0,0,77239.586,0,0,
38906,170.09639459966314,13.380557,,,,,,,,,,,0,0,112223.79,63684.09,0,311362.0,50308.043,0,129583.01,59041.74,0,0,55084.56,0,161564.81,75084.305,
38298,170.09639794995294,13.05805,,,,,,,,,,,576388.06,0,0,231133.16,409965.78,0,0,0,244238.05,228639.97,153604.45,0,156380.44,111405.06,130135.16,103318.93,
38583,170.09640022479098,13.175496,,,,,,,,,,,0,347803.72,132189.8,0,0,0,275923.84,294082.78,0,72726.24,113741.58,90105.92,0,72576.75,0,63761.32,
39320,170.09642826729535,13.826695,,,,,,,,,,,0,0,0,0,80731.375,0,0,0,30545.38,0,0,0,0,0,0,0,
39812,170.09644083047715,15.762612,,,,,,,,,,,0,0,0,0,69201.44,60438.934,0,68722.984,59802.566,55455.16,0,0,0,80415.695,0,74415.58,
31880,171.11674896791163,11.05447,,,,,,,,,,,0,0,0,0,56378.707,34719.9,0,45761.72,40984.69,54775.133,62768.32,64804.777,59772.22,133065.14,97505.734,131237.39,
28463,171.1378515514788,10.216953,,,,,,,,,,,0,0,0,0,59470.613,69607.19,67590.94,63020.594,63632.754,71206.75,68622.734,75888.88,77499.875,47963.184,48929.125,57972.68,
13672,171.14922339162368,7.3892884,,,,,,,,,,,0,68275.15,66932.67,62827.18,67315.414,66112.234,65406.715,67359.94,63925.96,74032.88,77765.26,85392.45,81450.35,80632.89,91128.37,95770.16,
27898,172.1694150618708,10.050609,,,,,,,,,,,0,0,0,0,1624740.9,1625157.4,1701037.8,1601934.0,1697067.2,1592133.8,1874719.5,1886092.9,1902480.6,1750138.1,1625248.2,1748483.1,
29763,172.1694532464932,10.547914,,,,,,,,,,,0,0,0,0,271384.22,270729.7,271243.34,282047.38,278886.28,284900.0,327864.94,296570.2,317383.44,61712.992,62319.484,69743.29,
28993,172.16945716063017,10.36993,,,,,,,,,,,0,0,0,0,140552.27,73541.6,76824.57,113504.1,130463.55,77971.48,95434.89,98257.95,123610.99,145142.53,132741.02,69833.63,
39935,172.95645626128797,16.087122,,,,,,,,,,,81954.055,55260.992,0,52710.062,53402.25,0,0,0,0,46085.867,47318.223,49673.332,0,54369.47,57509.867,49965.547,
270,172.9564736802767,0.84673434,,,,,,,,,,,48343.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14691,173.09606775040626,7.5301948,,,,,,,,,,,0,0,0,0,294500.72,126143.66,195665.67,236180.58,67006.57,0,0,291373.47,0,0,0,0,
28355,173.0960856586066,10.174614,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,76290.83,164381.38,136396.22,
36523,173.1323951849657,12.504608,,,,,,,,,,,0,0,0,0,39445.3,61620.1,0,65366.35,82701.56,82341.195,84045.805,110539.31,100938.66,194276.22,211146.67,190351.28,
29684,173.13258691505044,10.533572,,,,,,,,,,,0,41861.19,40899.992,48612.254,0,102470.54,69630.23,75671.76,34013.57,66216.734,106001.85,93509.375,109127.39,74375.54,0,0,
32597,173.13268917621295,11.191018,,,,,,,,,,,0,0,0,0,81772.42,55512.293,103570.67,61336.758,87462.18,83370.77,133221.5,154555.52,143364.81,124752.43,91230.914,99202.31,
21161,173.13268208627508,8.513889,,,,,,,,,,,0,60261.32,72643.93,67988.625,0,0,0,0,0,0,0,54813.58,0,0,0,0,
33271,173.13270700952762,11.4263735,,,,,,,,,,,0,0,0,0,75279.73,50906.2,65959.766,49825.723,51190.594,52385.742,61949.42,74481.39,57814.63,77249.164,91338.94,50687.91,
31203,173.13277096463372,10.873583,,,,,,,,,,,0,36077.582,45877.53,0,0,0,0,0,0,0,0,0,0,0,0,0,
35478,174.12760415580541,12.142773,,,,,,,,,,,0,0,0,0,59336.47,60523.367,53710.06,48862.36,49468.66,55209.133,57190.418,57938.746,54176.83,26047.01,36364.582,17441.133,
13005,174.1853898444312,7.2946577,,,,,,,,,,,0,54057.62,56698.68,0,0,0,0,0,0,0,0,0,0,0,0,0,
27991,175.11172171187937,10.07084,,,,,,,,,,,0,0,0,0,70767.766,68822.19,0,80512.375,91092.46,87016.02,144023.4,100654.48,110465.6,202670.31,143896.22,195499.8,
21204,175.1117227329893,8.522648,,,,,,,,,,,0,0,80900.69,0,0,0,0,0,0,109343.4,0,0,134886.39,53349.023,131375.0,102425.195,
29512,175.11172472429382,10.485898,,,,,,,,,,,0,0,0,0,116627.18,135403.36,124514.234,120489.234,158139.58,124364.62,157694.39,163283.66,150562.33,178370.86,191281.28,204152.14,
39703,175.12292208247948,15.073639,,,,,,,,,,,0,0,0,0,0,0,16808.04,0,0,0,0,0,0,0,51148.547,0,
39550,175.12292641432742,14.375509,,,,,,,,,,,0,0,0,0,0,71725.57,0,80589.99,0,0,0,0,0,0,0,0,
39570,175.1229415925399,14.5120945,,,,,,,,,,,0,0,0,0,0,0,0,28891.48,100804.195,25624.559,0,30296.592,0,0,0,53341.9,
39632,175.12293468179269,14.776895,,,,,,,,,,,0,0,0,0,0,0,0,89665.26,0,77944.625,0,0,0,0,92876.37,0,
38286,175.1229388974503,13.121748,,,,,,,,,,,0,0,449926.75,0,650211.8,0,508644.1,393144.66,0,401498.94,485262.97,314036.75,335242.72,0,210600.11,530368.75,
39493,175.1229379091153,14.144884,,,,,,,,,,,0,0,0,0,0,0,0,0,58563.348,58385.875,67722.77,49875.246,21560.559,51248.45,67998.62,113039.46,
39668,175.12294682623815,14.912926,,,,,,,,,,,0,0,0,0,0,0,0,0,36600.668,0,0,0,58557.195,0,0,0,
39063,175.12295534593622,13.448304,,,,,,,,,,,0,0,0,0,0,0,96023.97,0,659995.0,70139.73,0,0,0,0,0,0,
39185,175.12298087131245,13.668566,,,,,,,,,,,0,109347.94,97601.94,118368.984,0,0,43718.27,0,0,0,0,0,61115.242,0,0,0,
38812,175.12297033341443,13.3148155,,,,,,,,,,,961008.94,525397.5,169294.36,686674.56,0,531769.94,0,0,0,0,0,166237.06,130109.47,463640.56,120698.695,0,
39731,175.12297362309693,15.260612,,,,,,,,,,,0,0,0,0,36042.082,0,0,0,0,0,0,0,0,0,0,0,
39336,175.12297405645958,13.868383,,,,,,,,,,,0,0,70476.97,0,73404.85,27804.184,0,0,110351.92,0,172091.81,49306.594,31914.418,0,49667.836,150623.53,
39763,175.12297735867875,15.42773,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,49537.723,0,0,
39777,175.12298064534303,15.555876,,,,,,,,,,,0,0,0,0,0,0,0,110899.945,0,93272.98,0,0,0,0,0,0,
39808,175.1229929312739,15.741931,,,,,,,,,,,512747.7,415553.2,459143.9,431291.8,418828.0,427372.1,416188.9,303367.66,451921.97,295642.56,389720.03,394927.2,386000.1,383244.1,422723.2,365002.22,
39517,175.1229995574633,14.260389,,,,,,,,,,,0,0,0,0,0,0,0,0,0,45808.957,0,0,31640.637,0,0,0,
34648,175.1483066122088,11.862494,,,,,,,,,,,0,0,0,0,80486.625,75906.586,100571.59,33003.445,76699.53,74662.8,88518.11,111223.59,90214.43,90720.82,46360.535,92654.69,
33483,175.14831543893627,11.502791,,,,,,,,,,,0,0,0,0,95407.42,69764.73,74267.45,82399.49,97521.47,83458.26,91746.05,101699.67,85261.055,137628.45,86491.125,116249.8,
5094,176.14345319563068,6.032152,,,,,,,,,,,0,608331.1,587700.2,584202.06,0,0,0,0,0,0,45172.66,38303.645,66404.06,330596.44,101367.49,83797.18,
7022,176.14345684391836,6.377719,,,,,,,,,,,0,199880.47,213245.06,123275.234,0,0,0,0,0,0,0,30979.24,0,75675.016,54594.496,76178.914,
2386,176.14350847540442,5.3750644,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,51482.07,0,126268.95,0,
8788,176.14366906987962,6.6710086,,,,,,,,,,,0,48281.934,42730.492,57294.37,0,0,0,0,0,0,0,0,0,0,0,25105.809,
21107,177.0911296208364,8.507795,,,,,,,,,,,0,0,0,0,134548.92,112423.016,154780.39,154732.11,0,101035.44,92103.61,123500.58,125299.95,90135.67,177189.83,105688.0,
7668,177.09123603362977,6.4820375,,,,,,,,,,,0,0,0,0,98301.07,61119.5,100053.625,76151.945,64320.08,56424.74,57071.906,69572.46,82430.91,0,0,0,
35550,177.1273290549985,12.170615,,,,,,,,,,,0,0,0,0,0,0,21737.988,0,0,0,0,0,36027.426,40604.78,0,69527.82,
30761,177.1273400376767,10.767268,,,,,,,,,,,0,0,0,0,140622.86,106332.06,120270.586,96514.414,127673.3,123868.23,173264.03,179264.28,168588.5,125387.195,131380.19,134883.7,
26483,177.12735017680603,9.6455145,,,,,,,,,,,0,0,0,0,76318.3,76036.83,101013.81,104774.26,76944.13,69437.42,85069.25,109957.34,95213.16,0,0,0,
