row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,t2_Ec_C.mzML Peak area,t2_BS_C.mzML Peak area,t1_BS_C.mzML Peak area,t0_BS_C.mzML Peak area,t0_Ec_C.mzML Peak area,t1_Ec_C.mzML Peak area,Blank_B.mzML Peak area,Blank_A.mzML Peak area,t0_Ec_3.mzML Peak area,t0_Ec_1.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_1.mzML Peak area,t2_BS_2.mzML Peak area,t1_Ec_2.mzML Peak area,t0_Ec_2.mzML Peak area,t1_BS_2.mzML Peak area,t3_Ec_1.mzML Peak area,t1_Ec_1.mzML Peak area,t3_Ec_3.mzML Peak area,t1_Ec_3.mzML Peak area,t2_Ec_1.mzML Peak area,t2_BS_3.mzML Peak area,t2_BS_1.mzML Peak area,t3_Ec_2.mzML Peak area,t4_Ec_3.mzML Peak area,t3_Ec_C.mzML Peak area,t0_BS_2.mzML Peak area,t4_Ec_2.mzML Peak area,t3_BS_1.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_1.mzML Peak area,t2_Ec_3.mzML Peak area,t3_BS_2.mzML Peak area,t3_BS_C.mzML Peak area,t2_Ec_2.mzML Peak area,t3_BS_3.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_1.mzML Peak area,t4_Ec_C.mzML Peak area,t4_BS_C.mzML Peak area,t5_Ec_1.mzML Peak area,t6_Ec_1.mzML Peak area,t4_Ec_1.mzML Peak area,t7_BS_1.mzML Peak area,t5_Ec_2.mzML Peak area,t4_BS_2.mzML Peak area,t5_BS_C.mzML Peak area,t5_Ec_C.mzML Peak area,t5_BS_3.mzML Peak area,t5_BS_2.mzML Peak area,t5_Ec_3.mzML Peak area,t5_BS_1.mzML Peak area,t6_Ec_2.mzML Peak area,t6_BS_C.mzML Peak area,t6_BS_1.mzML Peak area,t6_Ec_C.mzML Peak area,t6_Ec_3.mzML Peak area,t7_Ec_C.mzML Peak area,t8_Ec_2.mzML Peak area,t7_Ec_3.mzML Peak area,t7_Ec_1.mzML Peak area,t7_Ec_2.mzML Peak area,t8_Ec_3.mzML Peak area,t7_BS_3.mzML Peak area,t8_Ec_C.mzML Peak area,t7_BS_2.mzML Peak area,t7_BS_C.mzML Peak area,t8_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t8_BS_1.mzML Peak area,t6_BS_2.mzML Peak area,t6_BS_3.mzML Peak area,t9_Ec_C.mzML Peak area,t9_Ec_1.mzML Peak area,t8_Ec_1.mzML Peak area,t9_Ec_3.mzML Peak area,t8_BS_C.mzML Peak area,t9_Ec_2.mzML Peak area,t9_BS_C.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_1.mzML Peak area,t9_BS_2.mzML Peak area,
24,267.03523565142996,0.20028901,,,,,,,,,,,121722.37,112670.34,108483.336,97713.25,99983.38,68452.914,93227.84,45247.344,64777.89,101817.59,106016.81,98913.62,50120.332,105266.36,92943.695,37982.574,126582.81,104698.45,129477.914,106123.97,114531.2,113777.445,112030.445,124959.55,136632.75,131415.34,95485.06,132992.12,113737.94,131623.7,23822.502,113925.88,120987.83,121174.47,118661.6,124299.16,97933.016,104074.29,134722.66,135655.22,145573.62,146082.27,135769.25,147299.48,140357.61,115884.87,133235.5,136691.55,142169.42,135326.48,150016.81,139861.42,138216.44,143887.02,145299.11,152208.97,137016.42,49365.93,192222.73,186279.53,169526.03,183074.58,194415.03,159979.69,152992.36,151114.47,148529.23,169355.86,190848.27,184784.97,147898.23,148343.28,193883.17,192830.55,190116.1,197368.17,187690.31,203208.17,165800.45,191137.67,196138.83,190056.0,
25,284.0489877541117,0.19953142,,,,,,,,,,,55203.953,51950.816,37295.438,23967.072,12647.69,23026.691,24999.387,18446.959,49940.445,28889.445,50866.07,47009.53,49509.98,35118.098,31431.842,17844.207,55859.51,28899.84,50368.98,38472.574,52926.6,53261.67,51214.004,55635.723,17193.752,56934.69,39353.04,5226.321,51955.047,39855.945,18926.494,28960.941,39282.33,18548.846,54899.688,55513.2,26842.707,51448.773,55093.242,49733.332,57975.93,33701.336,57496.87,22145.691,5613.7725,39926.945,18907.148,49533.92,35060.707,56014.39,59360.82,57419.45,16999.463,11975.761,56783.83,57705.766,47339.73,30471.77,59441.67,22449.691,30180.066,60172.035,68734.055,60113.49,67996.73,39045.49,56123.805,48715.58,67200.76,61956.254,57317.41,2989.228,37494.984,66608.13,45151.094,37757.57,68462.445,61513.36,19355.408,64999.742,68396.43,65700.04,
29,179.0926566969733,0.16599731,,,,,,,,,,,6863.976,11274.065,1028.8528,2540.434,10046.98,9742.593,7393.6113,52717.047,2581.6807,12802.859,6456.833,36526.895,7234.7417,2336.918,17121.863,19592.936,9578.537,2120.7686,4978.127,8662.13,3298.9844,9551.951,28996.684,1604.0897,7079.8135,7485.2754,18605.307,9877.583,9192.8125,9918.796,3366.0457,19636.95,7011.126,5202.231,11835.719,13067.745,6568.193,11418.233,11006.696,10095.697,8690.278,7929.8965,5155.737,19364.445,8001.739,12611.444,6490.0186,13156.586,17544.088,12393.45,6561.232,7532.7104,80678.26,2549.204,6715.6343,2007.3873,18799.486,8560.667,13495.798,4321.0376,3540.0662,4167.0693,4397.2725,10532.273,15171.872,6992.4854,47426.516,6036.394,10038.162,10405.081,5229.943,3331.824,770.77734,8878.009,3914.1577,4029.2073,13210.538,3896.2622,5882.104,7687.8496,3455.882,1448.8251,
30,284.0489921925567,0.22355956,,,,,,,,,,,56307.164,51109.305,30767.457,17558.582,12647.69,25149.814,30294.627,20749.69,49718.543,48668.91,45497.945,25135.443,45126.684,32155.906,25315.541,23750.107,56533.074,28899.84,56816.023,32030.9,53481.21,53447.297,44488.887,55655.914,23091.436,50053.387,34009.97,69338.63,50443.3,32937.867,17884.396,47213.49,35606.254,40535.504,54950.164,54479.562,21324.861,51974.8,5000.377,43315.895,57952.07,45272.176,57233.664,16507.488,5613.7725,46907.316,25927.984,55502.715,28111.406,56201.316,57327.402,50439.996,10502.301,11975.761,56157.08,58845.293,40790.73,22795.176,66913.38,30549.805,35167.754,65586.914,68514.0,33979.883,36082.902,39045.49,56742.15,48715.58,68363.69,41360.37,58034.69,2989.228,29366.516,65089.207,37027.656,29709.361,67003.77,68433.88,15687.211,65101.996,67942.9,66064.23,
33,161.08211265568033,0.19643256,,,,,,,,,,,74085.74,309825.25,63881.2,113843.39,193472.94,67702.586,172294.25,254099.7,193167.27,252101.6,120508.33,517900.8,170862.81,125099.49,163554.42,524893.44,226843.8,174514.16,113752.62,336913.06,180094.38,136081.22,88754.18,96698.09,150229.31,139705.69,241861.55,158183.28,91565.64,260505.0,109847.22,192535.72,81452.53,43228.695,62824.113,217732.1,222542.28,214180.97,244633.94,204144.86,69836.59,86460.5,148658.1,153197.08,87101.586,106408.47,128124.76,29467.125,269847.3,247617.39,68882.984,16744.07,698224.7,228668.6,229488.42,149794.0,168647.47,256282.5,173936.22,108132.05,108482.836,49939.367,184417.31,206028.89,96712.58,271942.44,520962.03,73187.57,68095.555,78263.805,178533.19,39887.64,153268.67,74389.06,76866.87,149026.95,158259.95,117190.24,172093.22,176747.69,42153.094,58884.516,
34,281.0508732969937,0.24034198,,,,,,,,,,,5766247.0,2102237.2,5378667.0,1931529.2,5049330.5,1999872.0,4957039.0,1160576.2,1994381.8,1981827.4,2013290.0,1886528.0,2020123.9,2031351.8,1956536.0,1904697.6,2242413.8,2008813.0,2290114.8,2030116.8,2157626.0,2183641.2,2084504.4,2201767.0,2293860.8,2308958.0,4952906.0,2244497.2,2207021.2,2269349.8,2205702.8,2085800.8,2169192.2,2177122.5,2206054.8,2216129.0,1915269.0,2022684.4,2247192.8,2312374.8,2315918.5,2249508.5,2308196.8,2182556.5,2270793.5,2236768.5,2220435.0,2242286.5,2271697.2,2244089.8,2399419.2,2308427.8,2132387.5,2295598.0,2248701.8,2348196.2,2103404.2,2536113.8,2738127.8,2726664.5,2524507.8,2626960.8,2742501.2,2432633.5,2701367.8,2215759.5,2281821.5,2728273.0,2769535.2,2706572.0,2338915.0,2273712.0,2719360.0,2708894.5,2717810.2,2733798.0,2732955.0,2786743.0,2631790.8,2664621.5,2735889.0,2661161.5,
35,227.02202892564358,0.25501585,,,,,,,,,,,41605.99,57002.496,43842.113,54435.445,52042.703,55058.457,50432.44,45809.523,40539.08,21304.799,26664.303,43668.258,41847.93,54829.12,12383.871,51752.29,16637.375,40916.484,59868.152,54561.633,29267.152,56770.598,1229.665,59542.383,62466.242,28494.635,44385.344,24797.037,33493.516,59645.28,17168.959,43175.855,29712.363,36981.395,11592.632,47882.957,12164.207,3528.2727,27311.861,33486.18,63039.55,26426.646,59372.18,59444.95,45054.344,47301.453,47777.26,23314.275,20390.924,61946.6,63448.74,44610.973,52422.863,17163.385,60481.33,63871.99,55754.598,50901.7,71113.26,71457.57,58064.06,35568.668,72912.96,64253.39,72762.945,38580.926,46867.062,72161.4,72466.65,22497.244,61213.668,62065.836,71602.96,71954.83,28509.979,40693.305,25675.662,26779.701,71459.805,57876.9,73303.85,72335.34,
40,267.0352382979084,0.2557523,,,,,,,,,,,123548.27,113713.51,270669.12,96627.95,99093.52,28920.604,94092.766,87100.59,24081.115,71949.96,105123.63,99734.11,10357.011,104695.71,98983.53,99297.09,125592.22,104250.18,130361.086,106435.54,113792.93,113733.39,188714.27,124644.39,139040.42,132475.81,96172.89,135443.67,122237.84,124231.07,122411.945,113077.9,122592.836,94512.34,119546.14,122104.09,93598.69,84050.96,122528.414,134022.27,145094.06,147129.8,135695.28,149177.75,141319.89,67442.766,131812.5,138186.75,140222.0,135309.45,382623.5,141744.53,87426.52,147438.62,146468.02,151986.88,135849.05,170871.86,193584.47,183879.5,169319.89,181475.66,183222.31,158491.83,187388.7,151686.36,147466.86,193222.08,191851.77,184447.7,148336.17,144799.05,197094.48,193801.9,193183.83,490256.5,183196.19,204034.27,185178.98,150466.5,194694.95,188929.92,
43,179.09264430684505,0.25140586,,,,,,,,,,,4181.023,4844.2666,992.22455,15792.402,12348.082,3391.5742,6396.9385,24128.686,10977.626,36310.71,1111.9445,23140.213,7234.7417,2336.918,5411.677,19592.936,5631.562,2120.7686,9545.346,8662.13,3298.9844,9551.951,13212.003,1604.0897,4719.849,7485.2754,10015.2,11798.506,15160.105,2888.58,2913.0872,4925.073,4005.736,2667.851,6498.402,5010.2183,5998.7686,2328.0261,642.7446,8922.263,8690.278,7929.8965,5812.833,18152.748,1253.5603,3587.3215,2626.374,8753.557,17544.088,17614.844,8977.112,5259.866,24579.633,4615.1855,6737.3447,4922.085,38206.668,8560.667,13495.798,4321.0376,3869.9495,5325.302,4397.2725,13279.065,5018.9556,6992.4854,15057.136,1602.9224,2307.3862,2880.772,9731.26,2837.35,3620.3142,1820.0176,3914.1577,11241.273,2196.28,7656.41,16621.592,870.5061,2640.0354,6012.2124,
45,445.1197130246643,0.2912426,,,,,,,,,,,35790.184,80465.25,55886.04,101954.27,64468.36,78227.92,70120.55,76501.91,91104.01,99220.58,54590.07,83906.41,77238.31,84339.33,95581.37,35861.793,70214.95,85790.91,75677.97,68324.1,42092.414,36423.59,78861.5,71580.914,73018.17,76082.22,111849.77,75126.24,78619.164,75292.65,74226.48,67910.59,76705.43,68029.625,80537.16,77676.945,104933.164,117267.67,72601.83,75364.64,6212.587,70172.164,75728.57,72249.305,72709.016,67673.266,69823.8,71957.03,47521.242,72411.22,42282.156,75389.086,75095.72,71739.766,47622.652,37679.54,73888.664,41173.59,42492.27,78801.2,48386.863,75122.16,76382.2,111718.24,44590.8,49921.906,76821.984,43217.44,77279.586,13513.407,72123.28,44528.75,75447.38,9888.901,14596.051,11683.169,43530.305,65808.5,43700.77,57665.816,74859.125,72782.016,
46,239.09473208943376,0.2849004,,,,,,,,,,,90271.06,86555.58,48195.324,98138.92,94606.68,36232.84,43826.41,89179.34,96494.69,93626.56,92817.81,11933.146,84966.375,73255.7,81559.31,86429.41,88915.86,61381.09,85613.57,88257.12,69042.664,75893.0,88351.89,88385.26,87969.98,84927.61,95726.414,87437.02,87886.73,89353.87,72943.89,87657.5,80629.34,86447.76,87771.125,41020.58,96523.195,88654.305,87575.664,36935.46,85836.42,85191.06,88468.98,75582.57,37498.61,87591.24,86832.734,80562.18,84490.03,74709.18,86639.79,88272.31,49957.09,84953.15,85714.11,87088.27,59174.418,34070.676,93902.7,89555.875,85659.96,88163.86,94660.0,69315.516,60246.297,78748.984,74800.52,93911.4,5455.5684,91030.945,74217.75,86167.95,88979.64,93062.69,91903.74,95550.66,90826.71,96036.56,94256.5,94201.73,94742.875,68733.03,
47,302.05870822759357,0.2767575,,,,,,,,,,,77119.95,72771.54,73207.36,70278.67,70544.766,70507.98,31185.64,45985.547,50282.316,40384.734,8742.026,66514.65,27003.154,71306.45,59480.41,66406.43,77638.266,40003.234,76628.17,71576.49,73947.32,73683.516,73457.33,76231.94,29842.566,76790.625,67467.97,78869.81,75585.98,14409.686,76801.76,75193.516,76003.94,75072.945,57292.156,38259.164,69661.12,36549.21,78434.086,78162.19,78004.25,6543.221,15555.182,30689.777,51562.473,77773.88,76276.41,77679.21,65635.734,53641.24,79336.0,80739.516,33218.098,34255.42,77882.22,52973.734,66117.414,73088.414,88667.805,86047.63,39351.703,73054.39,88876.41,77195.92,36365.562,73438.64,71564.47,89281.63,51410.67,88588.016,24187.33,78263.24,44107.88,87624.17,89542.38,89577.76,86416.914,90806.76,86386.414,72632.79,88955.445,87071.625,
48,284.04898793303965,0.29638717,,,,,,,,,,,57190.832,30703.115,22455.541,16610.768,12647.69,45817.29,17814.775,14612.701,36945.285,7563.9473,127769.734,45541.156,123643.766,32706.104,16108.869,32267.916,49327.13,22612.676,144551.81,42993.395,103408.12,37703.92,87621.97,141756.58,23091.436,25958.822,42392.98,71652.2,55340.51,95007.84,55926.438,25967.656,13390.084,46366.883,41705.992,35389.574,28291.26,32851.21,28448.639,19118.533,147599.69,57326.52,34622.098,55845.8,47398.54,48949.76,137709.25,49831.234,140709.11,49614.184,152404.78,27600.936,31618.234,138757.31,56998.895,147850.75,19026.871,63017.582,66731.82,34608.043,38022.945,65763.59,51978.453,51965.527,11948.842,17848.271,25811.098,21770.316,69214.664,55174.504,57519.418,2989.228,68534.04,62049.727,68566.64,69222.69,59887.89,56783.336,63848.293,38388.645,69037.84,158943.36,
49,281.05087201471684,0.30718547,,,,,,,,,,,2271870.5,2167711.2,2089081.2,4975924.0,1964074.9,2033116.2,1911791.8,1636845.9,2036531.8,2016599.9,2047158.9,1938387.1,2044164.5,2047401.8,1979234.4,1939776.1,2284276.0,2059357.2,2315856.2,2060734.5,2177563.5,2157968.2,484257.3,2222114.8,2338482.5,2329396.2,1983461.9,2303199.2,2238040.0,3831062.2,2268025.0,2176871.2,2239638.5,2214158.8,2278194.5,2260393.8,1923956.9,2060754.9,2293500.8,2326177.8,2383537.0,2320414.5,2315617.2,2270778.8,2288993.8,2295191.0,2253298.0,2240144.0,2342954.5,2264389.5,2457426.2,2355938.2,2156347.2,2373526.5,2295584.2,2382339.0,2140331.5,2548454.5,2733170.5,2754152.8,2567775.8,2683003.8,2757840.8,2451490.5,2777100.8,2266439.8,2308820.5,2777174.8,2783463.0,2719553.2,2352081.5,2298662.8,2784833.8,2762939.0,2801603.8,2787675.2,2714681.8,2813282.0,2651607.5,2711968.0,2760761.8,2698848.2,
