filename	ATTRIBUTE_species	ATTRIBUTE_sample	ATTRIBUTE_timepoint	ATTRIBUTE_hours	ATTRIBUTE_mins	ATTRIBUTE_replicates						
t3_Ec_1.mzML Peak area	E.coli	sample	3	1.166666667	70	1						
t3_Ec_2.mzML Peak area	E.coli	sample	3	1.166666667	70	2						
t3_Ec_3.mzML Peak area	E.coli	sample	3	1.166666667	70	3						
t3_Ec_C.mzML Peak area	E.coli	Control	3	1.166666667	70	0						
t4_BS_1.mzML Peak area	B.subtilis	sample	4	2.25	135	1						
t4_BS_2.mzML Peak area	B.subtilis	sample	4	2.25	135	2						
t4_BS_3.mzML Peak area	B.subtilis	sample	4	2.25	135	3						
t4_BS_C.mzML Peak area	B.subtilis	Control	4	2.25	135	0						
t4_Ec_1.mzML Peak area	E.coli	sample	4	2.25	135	1						
t4_Ec_2.mzML Peak area	E.coli	sample	4	2.25	135	2						
t4_Ec_3.mzML Peak area	E.coli	sample	4	2.25	135	3						
t4_Ec_C.mzML Peak area	E.coli	Control	4	2.25	135	0						
t5_BS_1.mzML Peak area	B.subtilis	sample	5	3.25	195	1						
t5_BS_2.mzML Peak area	B.subtilis	sample	5	3.25	195	2						
t5_BS_3.mzML Peak area	B.subtilis	sample	5	3.25	195	3						
t5_BS_C.mzML Peak area	B.subtilis	Control	5	3.25	195	0						
t5_Ec_1.mzML Peak area	E.coli	sample	5	3.25	195	1						
t5_Ec_2.mzML Peak area	E.coli	sample	5	3.25	195	2						
t5_Ec_3.mzML Peak area	E.coli	sample	5	3.25	195	3						
t5_Ec_C.mzML Peak area	E.coli	Control	5	3.25	195	0						
t6_BS_1.mzML Peak area	B.subtilis	sample	6	4.25	255	1						
t6_BS_2.mzML Peak area	B.subtilis	sample	6	4.25	255	2						
t6_BS_3.mzML Peak area	B.subtilis	sample	6	4.25	255	3						
t6_BS_C.mzML Peak area	B.subtilis	Control	6	4.25	255	0						
t6_Ec_1.mzML Peak area	E.coli	sample	6	4.25	255	1						
t6_Ec_2.mzML Peak area	E.coli	sample	6	4.25	255	2						
t6_Ec_3.mzML Peak area	E.coli	sample	6	4.25	255	3						
t6_Ec_C.mzML Peak area	E.coli	Control	6	4.25	255	0						
t7_BS_1.mzML Peak area	B.subtilis	sample	7	20.33333333	1220	1						
t7_BS_2.mzML Peak area	B.subtilis	sample	7	20.33333333	1220	2						
t7_BS_3.mzML Peak area	B.subtilis	sample	7	20.33333333	1220	3						
t7_BS_C.mzML Peak area	B.subtilis	Control	7	20.33333333	1220	0						
t7_Ec_1.mzML Peak area	E.coli	sample	7	20.33333333	1220	1						
t7_Ec_2.mzML Peak area	E.coli	sample	7	20.33333333	1220	2						
t7_Ec_3.mzML Peak area	E.coli	sample	7	20.33333333	1220	3						
t7_Ec_C.mzML Peak area	E.coli	Control	7	20.33333333	1220	0						
t8_BS_1.mzML Peak area	B.subtilis	sample	8	29.66666667	1780	1						
t8_BS_2.mzML Peak area	B.subtilis	sample	8	29.66666667	1780	2						
t8_BS_3.mzML Peak area	B.subtilis	sample	8	29.66666667	1780	3						
t8_BS_C.mzML Peak area	B.subtilis	Control	8	29.66666667	1780	0						
t8_Ec_1.mzML Peak area	E.coli	sample	8	29.66666667	1780	1						
t8_Ec_2.mzML Peak area	E.coli	sample	8	29.66666667	1780	2						
t8_Ec_3.mzML Peak area	E.coli	sample	8	29.66666667	1780	3						
t8_Ec_C.mzML Peak area	E.coli	Control	8	29.66666667	1780	0						
t9_BS_1.mzML Peak area	B.subtilis	sample	9	47.16666667	2830	1						
t9_BS_2.mzML Peak area	B.subtilis	sample	9	47.16666667	2830	2						
t9_BS_3.mzML Peak area	B.subtilis	sample	9	47.16666667	2830	3						
t9_BS_C.mzML Peak area	B.subtilis	Control	9	47.16666667	2830	0						
t9_Ec_1.mzML Peak area	E.coli	sample	9	47.16666667	2830	1						
t9_Ec_2.mzML Peak area	E.coli	sample	9	47.16666667	2830	2						
t9_Ec_3.mzML Peak area	E.coli	sample	9	47.16666667	2830	3						
t9_Ec_C.mzML Peak area	E.coli	Control	9	47.16666667	2830	0						
